source_type,identifier,link,paper_relevance,platform,github_stars,readme_present,docs_folder,wiki_present,external_docs_link,primary_doc_location,doc_level,docs_url,tool_notes,domain,domain_justification,interaction_level,interaction_justification,threat_model,threat_model_justification,irb_mentioned,irb_justification,consent_model,consent_justification,data_types_collected,data_types_justification,protocols_ports,protocols_justification,data_sensitivity,data_sensitivity_justification,data_minimization,data_minimization_justification,data_retention_policy,data_retention_justification,data_sharing,data_sharing_justification,jurisdiction_legal,jurisdiction_justification,containment_measures,containment_justification,deception_framing,deception_justification,researcher_responsibility,researcher_responsibility_justification,ethical_gaps,ethical_gaps_justification,relevance_to_project,relevance_justification,deployment,deployment_justification,no_external_deployment
Scientific,SAGE: An Adaptive IoT Honeypot with FSM-Driven Protocol Emulation and GraphRAG-Powered,,Actual Honeypot,,,,,,,,,,,ICS,In Table 1 of the paper it says IIoT,Medium,"Page 5 says ""This section introduces SAGE (State-Aware Graph-Enhanced Honeypot), a hybrid IoT honeypot framework""",Real-world ICS/IIoT attackers (automated + human),"Page 29:  “1,750 unique attackers identified.”  “12,320 interactions recorded.”  “Ladder Logic upload attempts” “SZL ID reconnaissance behavior”",No,No section mentioning: IRB Ethics committee Institutional approval Human subject protocol,Implicit,Page 27: Public IP deployment without authentication barriers No mention of consent or disclosure anywhere in the paper,"Attacker IPs, protocol interactions, attacker commands","Page 29: “1,750 unique attackers identified” (implies IP logging)  “12,320 interactions recorded”  “state transitions logged”",S7comm (Port 102),"Section 4.1: The implementation focuses on the ""S7comm protocol"" and explicitly specifies operation over ""TCP port 102"".",Medium,"The system captures adversarial request-response interactions and logs attacker behavior. While no personal user data is mentioned, it involves real-world adversarial telemetry and potentially identifiable network metadata. No anonymization or governance mechanisms are described.",Not discussed,No mention of: Anonymization Hashing IPs Limiting storage scope Redacting sensitive logs,Not discussed,No statement about: Storage duration Deletion timeline Secure archival,None mentioned,No dataset release link. No mention of sharing attacker logs.,Not discussed,Page 27: Despite: Global cloud deployment  Public IPv4 exposure  No legal discussion or jurisdiction analysis appears in any section.,Protocol emulation and isolation implied (Containerized & Isolated),Page 27: “containerized Ubuntu 20.04 environment”  Emulated S7-300/400 PLC (no real PLC attached)  No physical process integration described This suggests technical containment.,Purely technical,"Deception discussed as “deception robustness,” “adversary engagement,”  and “fingerprinting risks” (Abstract; Conclusion). No ethical or governance  discussion of deception appears in the paper.",Not discussed,"The paper does not include ethics, privacy compliance, anonymization, IRB approval, or responsible disclosure discussion.  Absent - no statements like “we consider ethical implications” or “we adhere to IRB”.",AI-generated deception without ethical discussion,"Page 29: Five-month live Internet deployment  1,750 real attacker IPs logged No IRB or ethics approval mentioned (entire paper) No data governance policy (entire paper) AI-driven adaptive deception without ethical reflection",Highlights ethics challenges in adaptive honeypots,"The paper demonstrates AI-driven adaptive deception and dynamic interaction with adversaries but does not address governance or dual-use implications, reinforcing the need for an ethical risk framework in adaptive honeypot systems.",Yes (Public Internet Deployment),"Page 27: “Both honeypots were deployed in a containerized Ubuntu 20.04 environment, with public IP exposure to facilitate real-world adversarial interactions.”  “deployed on public IPv4 addresses without geoIP filtering or access control restrictions”  Page 29: “During the five-month deployment…”",
Scientific,HoneyIoT: Adaptive High-Interaction Honeypot for IoT Devices Through Reinforcement Learning,,Actual Honeypot,,,,,,,,,,,CPS,"In abstract, it is mentioned "" To address these problems, we develop an adaptive high-interaction honeypot for IoT devices, called HoneyIoT.""",High,"In abstract, it is mentioned ""we develop an adaptive high-interaction honeypot for IoT devices, called HoneyIoT.""",IoT malware and attackers,"Page 2: ""mislead attackers into uploading malware"" Page 3: “collect malware from the attacker’s command and control server”",No,"No mention of: IRB, Ethics committee, Institutional review, Consent approval",Not discussed,"There is no discussion of: Attacker awareness, Consent, Disclosure","IP addresses, request packets, session logs, exploit traces, malware samples","Page 4: “maintains the log traces” Page 8:  “interaction log contains information such as attacker’s IP address, request packets…” “collect malware” “upload to VirusTotal”","HTTP (80), HTTPS (443), RTSP (554), RTMP (1935)","Section 5.1:  Specifically identifies opening ports ""HTTP port 80, HTTPS port 443, RTSP port 554 and RTMP port 1935"" to emulate IoT cameras, as well as device-specific ports for routers and plugs",High,"Section 5.1 & 5.2.1: Collects ""malicious code"" and ""vulnerability exploitation"" data, including 467 malware samples from 29,467 attack sessions",Not discussed,No mention of: Minimization principle Selective logging Privacy filtering,Not discussed,No retention timeline described.,Malware shared with VirusTotal,"Page 8: "" The malware sample is uploaded to VirusTotal[29] for malware classification and analysis.""",Not discussed,"Page 9 mentioned,They deploy on AWS across US/France/Japan. No mention of: GDPR Legal compliance Cross-border data transfer laws",Sandbox and isolation implied (AWS VM isolation),"Page 4: “crawler in a sandbox”, “virtual machine running on AWS” Page 1: “monitored and controlled environment”  So containment exists technically.",Purely technical,Entire framing is: Maximize malware upload Optimize deception Increase engagement  No ethical discussion of deception.,Not discussed,No statement like: “We consider ethical implications” “We mitigate harm” “We follow responsible research practices”,Intentional attacker engagement optimization without ethics discussion,"Page 6: “If the attacker uploads malware, we assign a large positive reward.” This is explicit attacker engagement optimization.  No ethics section.",Strong motivation for ethical limits in adaptive honeypots,"This paper: Maximizes deception success -> “HoneyIoT can effectively bypass the pre-attack checks and mislead the attackers into uploading malware.” (Abstract) Encourages malware upload -> ""we add a positive intermediate reward. If the attacker uploads malware, we assign a large positive reward to this session"" (Page 6) Uses reinforcement learning to optimize attacker manipulation -> “…leverage reinforcement learning algorithms to select the proper responses” (Page 5)",Yes (Public Internet Deployment),"Abstract says, “HoneyIoT has been deployed on the public Internet.” Page 4 mentioned, “deployed on AWS”",
Scientific,SweetCam: an IP Camera Honeypot,,Actual Honeypot,,,,,,,,,,,CPS,Abstract:  “The utilization of the Internet of Things (IoT) as an attack surface is nowadays a fact.”  Paper focuses on:  “IP cameras” “IoT devices”,Medium,Abstract:  “we propose an open-source medium interaction IP camera honeypot”,IoT malware and attackers,"Introduction: “IP cameras face numerous threats…” Section 4.2: “identify common Internet scanners (e.g., Shodan)”  SSH section 3.3: “attackers target SSH to control the IP camera for vicious usages, like being part of the botnet” “a botnet named RapperBot…”",No,"No section in the paper mentions IRB, ethics committee, or institutional approval.  The paper is entirely technical.",Implicit,"Section 4.1:  “ports 554 (RTSP), 80 (HTTP), and 22 (SSH) are open and exposed to the Internet.”  No section discusses consent or notification.","Malware behavior, attack traffic:  Attacker IPs Command logs Malware download attempts Protocol logs","Section 3: “logging system for recording the traces of attackers”  Section 4.1: “All the logs are stored…”   Abstract: “5,924 unique IPs”  Section 4.2: “131,656 entries recorded in the commands” “7,133 entries contain curl commands” “download a distributed denial-of-service (DDoS) attack script”","HTTP (80), RTSP (554), SSH (22)","Section 4.1: ""To mimic the behavior of a real IoT camera, ports 554 (RTSP), 80 (HTTP), and 22 (SSH)""",Medium,"“5,924 unique IPs” “131,656 entries recorded in the commands”  No personal benign user data.",Not discussed,"No section discusses data minimization, filtering, or anonymization of logs.",Not discussed,Section 4.1: “All the logs are stored…”  But nowhere mentions:  Retention period  Deletion timeline  Storage policy,None mentioned,(Page 5): They mention malware downloads: “download a distributed denial-of-service (DDoS) attack script”  But they do NOT say: They publish malware They share dataset They release traces,Not discussed,"Section 4.1: They deployed in: “Brazil, South Africa, and Japan”  But nowhere mention: GDPR Legal compliance Cross-border issues",Emulation and isolation,Section 3.4: “Each of the services will run as a separate Docker Container.” Page 6: “it is better to replay synthetic or fake videos instead.”,Purely technical,"Conclusion: ""we aim to extend SweetCam with a more heterogeneous user interface to provide better feedback for the adversaries and increase the deception.""  No ethical framing of deception. Only technical improvement.",Implicit (safe emulation),Section 4.3 notes that SweetCam “avoids the real device cost by using fake video and also fulfills the requirements for attacker interaction.”,No explicit ethics or privacy discussion,"Abstract: “5,924 unique IPs” Page 5: “131,656 entries recorded in the commands” “download a DDoS attack script”  There is: No privacy section No data governance No ethical discussion",Demonstrates containment-based ethical justification,Page 6: “it is better to replay synthetic or fake videos instead.” Section 3.4: “Each of the services will run as a separate Docker Container.”  They explicitly avoid real device privacy exposure. They choose fake media to reduce harm.,Yes (Internet-facing),"Section 4.1:  “ports 554 (RTSP), 80 (HTTP), and 22 (SSH) are open and exposed to the Internet.”  “deployed on the Azure cloud in Brazil, South Africa, and Japan”",
Scientific,HoneyPLC: A Next-Generation Honeypot for Industrial Control Systems,,Actual Honeypot,,,,,,,,,,,ICS,Abstract: “Industrial Control Systems (ICS) provide management and control capabilities for mission-critical utilities…”,High,"Page 2: “we present HoneyPLC, a high-interaction honeypot …”",ICS attackers,Abstract: “cyberattacks that are designed to disrupt their operation”  And experiments confirm that:  external Internet attackers reconnaissance tools PLCinject interactions,No,"No IRB, no ethics board, no human subjects discussion appears anywhere in the paper.",Implicit,"There is no consent statement, just Internet-facing honeypots.  There is no phrase like:  ""informed consent""  “attackers are notified”","ICS command interactions, protocol traffic","Page 5: “maintains all logs produced by our S7comm servers, the SNMP agent and the HTTP server” Section 4.5: “public IP address of the attacker” “memory block ID” “ladder logic programs that get injected”","S7comm (102), HTTP (80), SNMP (161)","Section 4.3: Explicitly emulates ""S7comm protocol over TCP port 102,"" ""SNMP... over UDP port 161,"" and ""HTTP quests"" (typically Port 80)",High,They collect:  IP addresses Attack commands Ladder logic uploads Network interactions against a critical ICS target,Not discussed,There is no specific mention of:  selective logging filtering out sensitive fields anonymization minimizing data capture,Not discussed,Nowhere in the text does the paper describe:  how long logs are kept retention timelines deletion procedures,None mentioned,The paper states: “HoneyPLC and all our experimental results are available online.”   But No release logs or interaction traces to the public.,Not discussed,"“Deployment locations (AWS EC2, Internet-exposed) and ICS relevance (Siemens, ABB, Allen-Bradley PLCs) are described (Secs. 5.5, 5.7), but the paper does not discuss legal compliance, data protection, or jurisdictional considerations.”",Strong isolation to prevent physical impact,"Section 4: “introducing low-to-moderate levels of risk as well as low maintenance costs.”  Although it doesn’t literally say “we ensure safety,” the design avoids physical PLC hardware and runs in controlled environments. So the justification holds.",Purely technical,The paper does not discuss ethics or philosophical aspects of deception. It discusses methodological and technical deception:  Section 5: “HoneyPLC is designed to effectively deceive attackers into believing that they are dealing with real PLCs”,Not discussed,"The paper does not include any explicit statements about researcher responsibility, ethical oversight, or governance.","Ethics embedded as safety, not explicitly discussed","The paper only mentions technical containment (avoiding real PLC hardware, controlled environment). There is no explicit ethical discussion, so this column should say: “No explicit ethics discussion; safety measures are technical”",Demonstrates technical containment and controlled deployment,"HoneySat / Digital Twin can adopt similar risk mitigation and containment strategies in experiments, but must explicitly include ethical governance, which HoneyPLC lacks.",Internal / controlled,Deployment was simulated or containerized; no real PLCs exposed to the Internet.,
Scientific,LLM Honeypot: Leveraging Large Language Models as Advanced Interactive Honeypot Systems,,Actual Honeypot,,,,,,,,,,,IT,"“In the realm of cybersecurity, honeypots have proven to be a valuable tool…” - Introduction",Medium,“honeypots… lure and interact with attackers…” - Abstract/Introduction “…a honeypot capable of sophisticated engagement with attackers.” - Abstract,Human attackers engaging in interactive sessions,“…capturing responses in a controlled environment and saving these interactions as logs.” - Data Collection section,No,No section contains any of these phrases:  “IRB” “ethics board” “human subject protocol”,None,No section mentions:  “consent” “informed” “notification” “attacker awareness”,commands generated responses interactive session logs,""" logs of every command along with the generated responses by the model"" - Custom SSH Server Wrapper section ""the attacker initiates a connection and sends commands"" - Page 4",SSH (Port 2222),"Section III-A & III-B: The framework integrates an ""SSH server"" and uses a custom port for evaluation, demonstrated as ""ssh -T -p 2222""",High,"“collecting the IP addresses of incoming SSH connections, username-password pairs (for authentication), and logs of every command” - Custom SSH Server Wrapper section",Not discussed,No section mentions:  “minimization” “anonymization” “filtering”,Not discussed,No section contains:  “retention” “storage duration” “deletion policy” “archival policy”,Not mentioned,"It only mentions where the model is published:  “The final model, fine-tuned to respond like a honeypot server, … is publicly accessible on Huggingface and GitHub.” - Model Selection section",Not discussed,No section contains:  “GDPR” “legal compliance” “jurisdiction” “law” “privacy regulation”,Logical containment.,"“…capturing data on attacker behavior for cybersecurity analysis.” - Interactive LLM-Honeypot Framework “…simulate realistic interactions with potential attackers” - Page 3  Although not described as “containment” in a formal safety context, the architecture contains attackers within a decoy environment that does not affect real systems.",Strong deception,“…creating realistic and interactive honeypot systems using Large Language Models.” - Abstract “…fine-tuned… to mimic a Linux server.” - Methodology,Not discussed.,no explicit statements like:  “we adhere to ethical guidelines” “we consider ethical implications” “IRB approval was obtained” “responsible disclosure”,"Raises unaddressed concerns about manipulation, consent, and AI deception",explicitly says:  “honeypots… lure and interact with attackers… providing cybersecurity professionals with a powerful tool…” - Abstract,Highly relevant for ethical analysis of LLM-based honeypots,"“creating realistic and interactive honeypot systems using Large Language Models” - abstract “FineTuning (SFT) on a pre-trained language model, enhancing its ability to mimic a Linux server.” page 2 “engage attackers in a realistic manner” - page 4",Experimental evaluation / possible live deployment,"""Evaluation through similarity metrics and live deployment"" - abstract",
Scientific,ICSLure: A Very High Interaction Honeynet for PLC-based Industrial Control Systems,,Actual Honeypot,,,,,,,,,,,ICS,"Introduction: ""Industrial Control Systems (ICS) play a critical role in ensuring the safe and efficient operation of civil and industrial infrastructures.""",High,"Title mentioned, Page 4: ""In this work, we introduce yet another level of interaction, which we refer to as a Very-High Interaction""",Advanced ICS attackers targeting PLCs and industrial protocols,"Table 3: PLCs, SCADA servers, HMIs (Human-Machine Interface) Page 7: “compromising a VPN, or the access portal, or a workstation in the BN… an attacker must take control of PLCs… to act on the physical plant.” (Section 3)",No,"No terms such as “IRB”, “human subject protocol”, “ethics committee” appear in any section.",Implicit (attackers interact unknowingly),The paper describes attacker interactions without any mention of notification or consent: “attackers could take the control…” (Section 6).,"PLC commands, industrial protocol traffic, attacker interaction logs","“The resulting honeynet is able to gather information via monitoring processes running on each host. The collected logs, both network and system related, provide detailed records of attacker interactions.” - Section 4  “An attack was conducted on the Modbus protocol, in which we sent Modbus commands over TCP to manipulate output coils on a PLC… the honeynet approach was able to monitor and log the entire exchange between the attacker and the PLC, providing valuable insight into the attack vector and behavior.” - Section 6.1  “Attacks targeting the Siemens S7 service… the honeynet approach presented in this work was able to receive and log such attacks.” - Section 6.1","Modbus (502), S7comm (102), HTTP (80), noVNC (5900)","Section 5.2 & 5.5 (Pages 14, 18): Explicitly opens and logs TCP ports 80 (HTTP), 102 (S7comm), and 502 (Modbus) on the PLC proxy ""ports 80, 102 and 502"", and ""port 5900"" (noVNC) on the workstation",High (potential physical impact if misused),"Page 21: S7 Commplus attack. Attacks targeting the Siemens S7 service can include remote, unauthorized upload or download of code, potentially resulting in information disclosure or physical damage to equipment.""",Not discussed,"The paper does not address minimization, anonymization, or filtering of collected data.",Not discussed,"The paper does not address minimization, anonymization, or filtering of collected data.",Not mentioned,"There is no provided dataset, no traces, and no public release of logs in the text.",Not discussed,"No discussion of legal compliance, jurisdiction, GDPR, or similar concerns.",Strong containment. Real PLC behavior is emulated and isolated to prevent  physical-world effects,"“One of the primary risks … to mitigate this risk, we ensure that the PLC is not exposed to a real network but is instead placed within a virtual network environment…” (Section 2.2)",Technical deception through realistic PLC emulation,“Honeypots are deceptive security mechanisms designed to mimic real systems…” Intro,Implicit (Emphasis on safe experimentation),"The authors design it as a research tool with safe containment, but do not explicitly discuss responsibility statements like “ethical oversight” or “we adhere to ethical guidelines.”",Ethics embedded through containment rather than explicitly addressed,"No formal ethical risk analysis, IRB statements, or responsible disclosure guidance. Authors rely on containment rather than ethical argument.",Strong example of ethics-by-design in ICS honeypots,"""ICSLure overcomes the limitations of prior approaches by creating a very-high interaction environment"" - conclusion  This work provides a high-fidelity honeynet with real hardware and strong containment, valuable for your ethics analysis especially for ICS contexts.",Experimental / controlled environment,"Paper describes deployment for evaluation but not as a persistent live Internet honeynet (though wind farm setup was Internet-connected for testing).  “the complete honeynet was publicly exposed on the GARR academic network for a period of 30 days…” (Section 6.1, Evaluation)",
Scientific,LLMPot: Dynamically Configured LLM-based Honeypot for Industrial Protocol and Physical  Process Emulation,,Actual Honeypot,,,,,,,,,,,ICS,"Abstract: "" In this paper, we propose LLMPot, a novel approach for designing honeypots in ICS networks""",High,“LLMPot … Multi … 6+ physical processes” (Table 5) “The high interactivity of attackers further proves the realism of the developed LLMPot” (Page 14),Advanced ICS attackers targeting PLCs and industrial protocols,"Section 9.2: interaction traffic… ""valid Modbus requests” attackers interacted… ""using the Modbus protocol” Page14: “code injection attempts (SQL, LDAP, etc.)” Page13: login credentials...“brute force attacks”",No,Page13: “captures login credentials attempted during brute force attacks” No mention of: real users personal identity user accounts,Implicit,"Section 9.2: ""We exposed the developed LLMPot honeypot to the internet to monitor network activities""  No consent taken Attackers interact unknowingly",PLC commands / protocol traffic / interaction logs,"Page13: “captures login credentials attempted” “records incoming and outgoing Modbus server traffic” “logs detailed information… IP addresses, web pages visited, timing of requests and responses” “1891… valid Modbus requests” “produce valid Modbus responses”","Modbus (502), S7comm (102), HTTP (80)","Section 4 & 9.1: (Page 13) Explicitly mentions ""cloning"" protocols like Modbus on port 502 and S7comm on port 102, while routing web traffic on port 80",High,"Page 13: ""It also captures login credentials attempted during brute force attacks and records incoming and outgoing Modbus server traffic.""  ICS commands → can impact real-world systems (if misused) Credentials → sensitive attacker data",Not discussed,"Data is broadly collected, not minimized No mention of: necessity principle minimization strategy filtering",Not discussed,"Page13: ""we employ MongoDB [37] with the Beanie ODM [13] for robust data management.""  No mention of: how long data is stored deletion policies anonymization after collection",Yes,"Page14: ""The source code, models, and datasets are open source at https://github.com/momalab/LLMPot.""",Not discussed,No:  GDPR data protection laws cross-border data collection legality of logging attacker data Even though: (Section 9.2) “connection attempts from unique IP addresses” “IP addresses… recorded”  No legal awareness is shown.,Logical containment through emulation of physical processes,Page 13: “emulate the honeypot’s TCP/IP stack using Honeyd” “virtual hosts managed by Honeyd” “Docker containers… host both the website and the protocol emulation” “emulate… physical processes”,Strong deception using LLM-generated,Page 13:  “produce… valid Modbus responses” Page 14: “camouflages as a legitimate device” “not labeled as a honeypot by Shodan” “high interactivity… proves the realism”  realism + valid responses + camouflage = deception,Not explicit,No statements like:  “we ensure ethical use” “we follow guidelines” “responsible deployment”  Only technical goals: Page13: “used for ICS threat detection and analysis” Conclusion: “platform… researchers can use”,"No discussion of consent, manipulation, or AI-specific ethical risks",Entire paper reviewed -> no mention of: consent manipulation AI risks ethics frameworks  Page 13: “captures login credentials” “records IP addresses”  Still no ethical discussion.,Highly relevant for ethics of LLM-based honeypots,Conclusion: “LLMs can be used for ICS threat detection and analysis” “produce… valid Modbus responses” “exposed… to the internet” Page13: “real-time interaction”  AND absence of: ethics consent legal discussion,Real-world experimental deployment,"Section 9.2: ""We exposed the developed LLMPot honeypot to the internet to monitor network activities. Over two months""",
Scientific,HoneySat: A Network-based Satellite Honeypot Framework,,Actual Honeypot,,,,,,,,,,,Space,"Page 1: The abstract explicitly identifies the domain as ""satellites,"" specifically focusing on ""Small Satellite (SmallSat)"" and ""CubeSat"" missions",High,"Page 1: The authors define the system as a ""high-interaction satellite honeypot framework"" and compare it to others in Table I as a ""High"" interaction system",Network-based attackers targeting satellite communication services,"Page 1: The framework is designed ""to attract and analyze adversaries who attack space infrastructures over the Internet, a commonly observed threat vector""",Yes,"Section IX explicitly states, ""the survey protocol, and materials were submitted for review by our Institutional Review Board (IRB)""",Implicit,"Page14:  For the deployment, the authors use ""notice and warning"" banners (authorized use only) rather than explicit consent, as ""trespassers... do not have reasonable expectation of privacy""","Network traffic, Attack attempts, Protocol interaction data","Page 5: The logging repository records ""TM/TC traffic to and from the ground station software and the logging attempts received in the web interface""","TCP ports 23 for Telnet, 80 for the web interface, and 5901 for VNC.",Page10: D. Internet Interaction Experiment,High,"Page 3: The system captures ""real-world adversarial interactions""  including ""telecommands"" (TC) that, if valid, allow an attacker to ""fully take over the mission""",Not discussed,"Pages 1-14: While privacy for survey participants is addressed , there is no discussion of the ""minimization principle"" regarding the scope of adversarial data captured",Not discussed,"Page 7: The implementation uses a ""MongoDB database  to aggregate and store logs,"" but no retention or deletion timeline is defined",None mentioned,"Page 2: While ""source code and experimental results are available online"", there is no specific mention of a public release policy for the raw interaction datasets",Not discussed,"Page 10: The paper mentions deployment in ""Germany and the United States""  but does not include a legal analysis or mention of GDPR compliance",Dual-layer sandboxing (Docker + VM),"Page 14: Risk is mitigated by deploying ""using two sandboxing layers (Docker containers and Virtual Machines (VMs)"" on an isolated network segment",Technical + Ethical,"Page 4: Deception is justified as a technical design objective (DO-2)  and ethically as a necessary tool to ""entice adversaries"" while notifying them of authorized use only",Explicit (Focus on avoiding harm rather  than broader ethical theory),"Section IX is entirely dedicated to ""Ethical Considerations,"" specifically identifying stakeholders and outlining mitigation strategies for both participants and actors",No formal framework beyond harm prevention,"Page 14: While it includes an ethics section, the paper lacks a ""formal ethical framework"" or discussion of ""governance"" and ""legality"" beyond immediate harm prevention","Strong example of implicit ethics plus brief explicit acknowledgment, Useful  contrast with papers that omit ethics sections entirely","Page 14: This is the only paper in the study that explicitly discusses IRB approval , providing the necessary contrast to the ""ethical vacuum"" found in the rest of the literature",Yes (Public Internet),"Table 4: The authors ""deployed five instances of HoneySat over the Internet"" across on-premises servers in Chile and cloud servers in Germany and the USA",
Scientific,HoneyGPT: Breaking the Trilemma in Honeypots with Large Language Models,,Actual Honeypot,,,,,,,,,,,IT,"Page 1: The work focuses on ""Terminal honeypots,"" which are ""a specialized type of honeypots for emulating real terminal systems""",Medium,"HoneyGPT is a programmatic emulator that ""repurposes the work of the Cowrie honeypot"" for its protocol proxy"". While it uses LLMs to simulate high-interaction results, the authors explicitly baseline it against Cowrie, which they define as a ""medium-interaction"" system",Human attackers engaging in dialogue and commands,"Page 4: The system is designed for ""Adversarial scenarios often involve attackers executing a series of malicious commands"" and  Abstract: ""bait unauthorized entities""",No,"There is no mention of an ""Institutional Review Board,"" ""ethics committee,"" or ""human subject protocols"" in the entire paper.",Implicit,"Page 2: The authors explicitly ""deploy HoneyGPT... on the Internet for three months"" to engage with live attackers, capturing ""more attack behaviors and longer interactions"" without any mention of obtaining consent","Conversational data, commands, attacker responses","Page 3: The Terminal Protocol Proxy ""parses attackers’ commands"" while the Prompt Manager ""extracts the terminal output"" and ""maintaining the state of honeypot""",SSH / Telnet,"Section IV: The system uses a ""Terminal Protocol Proxy"" that ""repurposes the work of the Cowrie honeypot"" to parse attacker commands (Cowrie typically handles ports 22/23)",High,"Page 2: The system maintains ""dynamic memory during interactions"" and ""long-dialogue response tasks,"" which involve high-fidelity logs of human-adversary interactions",Not discussed,"Page4: No mention of the ""minimization principle""; the focus is instead on ""Memory Pruning"" to handle context length limits for better interaction",Not discussed,"Page 5: ""Memory Maintenance"" is discussed strictly in the context of ""managing the prompt’s length"" rather than a formal retention or deletion policy for stored interaction logs",Not mentioned,"Page 2: While ""baseline evaluation"" and P1: ""field evaluation"" results are discussed, there is no mention of a public link to the interaction traces or conversational datasets",Not discussed,"Page 2: The paper mentions deployment ""on the Internet for three months"" but contains no analysis of ""GDPR,"" ""legal compliance,"" or jurisdictional awareness",Logical containment,"Page3: The framework ""transforms the conventional ”requestresponse” message interaction (based on terminal protocols) into a ”question-answer” text interaction (via ChatGPT API)"" effectively isolating the attacker's impact within the LLM's simulated environment",Strong human-like deception via LLMs,"Page 6: Deception is central to the design, aiming to ""expertly balances authenticity with the objective of enticing attackers into prolonged interactions""",Minimal,"The authors discuss  Page9: ""security analysis features"" and a P10: ""paradigm shift"" for threat intelligence, but do not provide a formal ethical responsibility statement","Major ethical concerns (manipulation, consent, AI agency) not addressed","Page 11: The paper acknowledges technical ""limitations"" such as ""Prompt-based Attacks"" and ""Overfitting,"" but ignores the human-centric ethical risks of AI-driven manipulation and the lack of informed consent",Critical case study for ethical risks of LLM honeypots,"Critical case study for the ""technology-driven ethical lag"" and the ""structural ethical vacuum."" While HoneyGPT solves the technical ""trilemma"" using LLMs to create a high-fidelity digital twin of a terminal , it lacks the IRB oversight and ethical governance found in HoneySat . It serves as the primary example of why a new Ethical Framework is mandatory for AI-driven systems that interact with humans in the wild without consent .",Yes (Internet-facing),"Page 2: ""We deploy HoneyGPT and Cowire, which is a programmatic honeypot, on the Internet for three months""",
Scientific,Dynamic Honeypot Conversion for Enhanced IoT Security,,Actual Honeypot,,,,,,,,,,,CPS,"Page 1: The title and abstract focus exclusively on the ""Internet of Things (IoT)""",Medium,"Page 3: The authors argue that ""high-interaction honeypots... are impractical for widespread use in IoT"". They advocate for a system that balances ""realistic interaction"" while controlling risk, which aligns with their definition of Medium-interaction","IoT malware, automated attacks, and opportunistic attackers","Page 5: The model assumes an attacker ""capable of launching various attacks targeting IoT nodes,"" including ""volumetric attacks, protocol attacks, and application-layer attacks""",No,"Pages 1–15: There is no mention of an ""Institutional Review Board,"" ""ethics committee,"" or ""human subject protocol"" in the entire paper.",Implicit,"Page 5: The attacker operates under the limitation that they ""cannot determine whether a node is a honeypot before interaction"" and remain ""unaware of the system’s dynamic conversion capability,"" implying data is collected without their knowledge or consent","Network traffic, Attack payloads, IoT interaction behavior","Page 7: The system records security events defined by Equation (21) as: ""e = (timestamp, event type, node id, data),"" where 'data' represents the interaction content","UDP, DNS, TCP (SYN), ICMP, and HTTP","Page 8: The CICDDoS2019 dataset provides diverse attack patterns relevant to IoT environments: volumetric attacks (UDP flood, DNS amplification), protocol attacks (SYN flood, ICMP flood), and application-layer attacks (HTTP flood, Slowloris).",Medium,"Categorized as Medium because the recorded ""data"" variable captures specific attack payloads and interaction behaviors from the CICDDoS2019 dataset rather than personal human identifiers or user credentials",Not discussed,"Page 5: The paper does not mention the ""minimization principle"" or filtering specific data fields; instead, it focuses on ""Evidence Preservation"" through immutable logging",Not discussed,"Page 2: While the blockchain component ensures ""immutable records"" of conversion events and attacks, there is no discussion of a deletion timeline or storage expiration policy",None mentioned,"Page 8: The authors provide a GitHub link for the implementation source code, but they do not mention a public release for the raw interaction traces or attacker logs",Not discussed,"There is no analysis of GDPR, legal compliance for node conversion, or jurisdictional considerations for the deployment",Isolation and State Management,"The system initiates a (Page 2) ""rapid isolation protocol"" and transitions nodes through specific phases (normal→isolating→converting→operational) to (Page 4) ""maintain network stability and prevent data loss""",Purely technical,"Page 2: 	 Deception is treated as a functional requirement to provide ""greater flexibility and resource efficiency"" and realistic interaction in defense",Implicit (Technical safety),"Page 5: Responsibility is implicit through the system's ""Network Resilience"" constraints, which mandate a ""minimum 40% normal node availability"" to ensure legitimate network functionality during attacks",Ethics-by-Design without formal governance,"Like the vast majority of papers in the study, it relies on technical containment (isolation protocols and state machines) as a substitute for formal ethical discussion or IRB oversight","Example of ""Ethics-by-Containment""","BHICS is a primary example of the ""technology-driven ethical lag."" It uses a sophisticated Digital Twin concept (converting real nodes into high-fidelity decoys) but lacks the IRB oversight found in HoneySat",Experimental / controlled,"Section 5.4 describes an experimental setup that ""simulates an IoT network comprising 100 nodes,"" while Section 7.5 lists ""implementing a real-world testbed"" as a ""future research priority""",
